category,region,material_cost,labour_cost,production_days,packaging_cost,artisan_experience_years,market_demand,price
Blue Pottery,Rajasthan,452.3,1089.47,7,119.15,16,medium,2653.25
Blue Pottery,Rajasthan,569.65,945.11,6,71.6,25,low,2464.02
Blue Pottery,Rajasthan,340.25,1010.06,7,53.28,18,low,2046.37
Madhubani Painting,Bihar,330.57,439.82,4,75.79,12,low,1345.34
Phulkari,Punjab,341.31,1506.81,11,46.51,19,medium,3795.77
Blue Pottery,Rajasthan,318.98,989.18,7,93.77,13,low,2173.94
Bamboo Craft,Assam,247.62,82.09,1,30.93,13,low,501.08
Madhubani Painting,Bihar,161.05,413.42,4,56.46,8,low,908.34
Blue Pottery,Rajasthan,434.23,957.51,6,77.64,21,high,2425.54
Blue Pottery,Rajasthan,574.54,1132.01,7,78.1,28,high,3840.59
Madhubani Painting,Bihar,495.92,352.0,3,58.21,2,medium,1030.77
Blue Pottery,Rajasthan,365.78,558.65,4,86.61,18,low,1691.76
Phulkari,Punjab,754.29,874.32,5,90.25,4,medium,2850.8
Madhubani Painting,Bihar,235.71,997.38,9,34.38,22,medium,1983.42
Blue Pottery,Rajasthan,596.74,684.97,6,95.09,21,low,2591.82
Madhubani Painting,Bihar,473.38,443.3,3,31.7,24,medium,1665.72
Blue Pottery,Rajasthan,396.65,504.22,3,58.24,11,high,1857.83
Madhubani Painting,Bihar,260.46,882.54,7,89.35,9,high,1934.19
Bamboo Craft,Assam,191.46,414.4,3,32.85,18,high,1063.7
Blue Pottery,Rajasthan,385.34,318.99,3,104.61,11,medium,1355.21
Bamboo Craft,Assam,213.43,444.1,3,58.1,11,medium,1110.29
Madhubani Painting,Bihar,305.38,520.7,4,61.77,6,low,1175.23
Blue Pottery,Rajasthan,480.57,469.91,4,96.91,20,medium,1650.09
Madhubani Painting,Bihar,366.34,769.35,8,80.67,15,medium,2024.7
Bamboo Craft,Assam,161.81,400.82,3,46.06,11,low,746.86
Bamboo Craft,Assam,162.16,235.08,2,27.01,18,high,689.62
Blue Pottery,Rajasthan,499.92,659.14,5,79.04,2,high,1846.59
Blue Pottery,Rajasthan,361.36,760.99,6,43.02,17,low,1849.19
Blue Pottery,Rajasthan,225.31,715.9,6,63.98,16,high,1899.33
Bamboo Craft,Assam,329.37,111.95,1,60.07,4,medium,646.06
Bamboo Craft,Assam,141.58,454.78,4,63.23,18,low,873.16
Bamboo Craft,Assam,167.73,288.41,3,56.06,10,high,937.31
Madhubani Painting,Bihar,215.21,1059.6,7,30.56,11,high,2120.84
Blue Pottery,Rajasthan,233.99,584.13,4,68.4,13,high,1702.62
Phulkari,Punjab,525.02,1265.15,8,58.95,12,medium,3146.76
Madhubani Painting,Bihar,276.62,377.29,4,62.86,5,low,942.64
Madhubani Painting,Bihar,160.73,698.0,6,57.22,18,medium,1689.4
Blue Pottery,Rajasthan,436.76,391.35,3,117.14,15,medium,1789.12
Phulkari,Punjab,355.91,1786.85,15,76.21,21,high,4243.02
Blue Pottery,Rajasthan,480.22,976.17,7,85.05,22,high,3520.2
Madhubani Painting,Bihar,397.51,315.93,3,57.36,24,high,1615.99
Bamboo Craft,Assam,273.88,453.55,4,67.14,12,high,1467.73
Phulkari,Punjab,476.55,997.24,6,97.4,24,medium,2866.32
Madhubani Painting,Bihar,364.02,1510.97,10,74.15,18,low,2797.38
Madhubani Painting,Bihar,364.16,1040.12,10,38.14,18,high,2937.08
Blue Pottery,Rajasthan,344.44,546.19,5,108.87,8,medium,1682.33
Phulkari,Punjab,683.72,1562.62,9,68.9,15,medium,4172.26
Bamboo Craft,Assam,160.08,500.85,4,44.54,15,low,974.63
Phulkari,Punjab,514.1,1704.97,10,68.03,26,medium,3557.05
Phulkari,Punjab,613.19,679.23,6,49.85,22,high,2715.13
Bamboo Craft,Assam,185.18,97.67,1,63.09,16,medium,530.97
Bamboo Craft,Assam,144.84,404.3,3,40.59,9,low,658.19
Blue Pottery,Rajasthan,213.37,366.93,3,116.13,18,medium,1281.64
Blue Pottery,Rajasthan,344.15,476.71,4,105.88,5,low,1205.26
Madhubani Painting,Bihar,167.97,1019.36,10,67.74,5,low,1653.34
Blue Pottery,Rajasthan,457.1,976.1,6,108.13,10,medium,2570.03
Phulkari,Punjab,417.86,1730.29,15,44.52,23,low,3892.85
Blue Pottery,Rajasthan,312.92,614.56,5,84.25,19,medium,1667.67
Phulkari,Punjab,692.0,877.0,6,62.58,22,medium,3191.29
Blue Pottery,Rajasthan,463.47,931.41,6,45.92,22,medium,2519.83
Phulkari,Punjab,442.56,1426.55,9,42.82,9,high,4055.86
Phulkari,Punjab,888.8,2673.94,15,50.67,5,high,7152.56
Madhubani Painting,Bihar,417.09,1597.18,10,58.01,20,low,2871.41
Madhubani Painting,Bihar,381.32,848.5,7,73.06,18,medium,2324.12
Phulkari,Punjab,389.74,734.52,6,94.1,3,medium,2016.1
Phulkari,Punjab,347.53,1901.54,15,85.87,25,medium,3942.47
Madhubani Painting,Bihar,314.71,447.91,3,55.86,23,high,1369.42
Madhubani Painting,Bihar,467.05,323.74,3,80.1,4,medium,1142.34
Bamboo Craft,Assam,210.08,324.3,4,27.21,27,low,764.92
Phulkari,Punjab,833.78,1682.52,11,67.83,28,medium,5327.84
Phulkari,Punjab,453.95,1005.56,9,71.01,16,medium,2558.28
